Best Validation IoU: 0.2571
Total Training Time: 1094.10 seconds
Epoch 63: Train Loss=0.8018, Val Loss=0.8027, Train IoU=0.3362, Val IoU=0.2241
Epoch 64: Train Loss=0.7775, Val Loss=0.8110, Train IoU=0.3480, Val IoU=0.2237
Epoch 65: Train Loss=0.7682, Val Loss=0.7897, Train IoU=0.3522, Val IoU=0.2284
Epoch 66: Train Loss=0.7576, Val Loss=0.7861, Train IoU=0.3627, Val IoU=0.2302
Epoch 67: Train Loss=0.7364, Val Loss=0.7865, Train IoU=0.3710, Val IoU=0.2306
Epoch 68: Train Loss=0.7536, Val Loss=0.7959, Train IoU=0.3749, Val IoU=0.2337
Epoch 69: Train Loss=0.7358, Val Loss=0.7962, Train IoU=0.3780, Val IoU=0.2319
Epoch 70: Train Loss=0.7335, Val Loss=0.8122, Train IoU=0.3921, Val IoU=0.2358
Epoch 71: Train Loss=0.7211, Val Loss=0.7804, Train IoU=0.4002, Val IoU=0.2374
Epoch 72: Train Loss=0.7084, Val Loss=0.8005, Train IoU=0.4009, Val IoU=0.2339
Epoch 73: Train Loss=0.7097, Val Loss=0.8024, Train IoU=0.4110, Val IoU=0.2374
Epoch 74: Train Loss=0.7034, Val Loss=0.7786, Train IoU=0.4086, Val IoU=0.2415
Epoch 75: Train Loss=0.6967, Val Loss=0.8094, Train IoU=0.4119, Val IoU=0.2347
Epoch 76: Train Loss=0.6964, Val Loss=0.8335, Train IoU=0.4144, Val IoU=0.2297
Epoch 77: Train Loss=0.6750, Val Loss=0.8109, Train IoU=0.4294, Val IoU=0.2383
Epoch 78: Train Loss=0.6643, Val Loss=0.7883, Train IoU=0.4366, Val IoU=0.2379
Epoch 79: Train Loss=0.6615, Val Loss=0.8017, Train IoU=0.4392, Val IoU=0.2406
Epoch 80: Train Loss=0.6526, Val Loss=0.8025, Train IoU=0.4518, Val IoU=0.2374
Epoch 81: Train Loss=0.6521, Val Loss=0.7935, Train IoU=0.4544, Val IoU=0.2365
Epoch 82: Train Loss=0.6533, Val Loss=0.8012, Train IoU=0.4575, Val IoU=0.2450
Epoch 83: Train Loss=0.6569, Val Loss=0.8082, Train IoU=0.4488, Val IoU=0.2320
Epoch 84: Train Loss=0.6401, Val Loss=0.8352, Train IoU=0.4686, Val IoU=0.2352
Epoch 85: Train Loss=0.6270, Val Loss=0.8144, Train IoU=0.4706, Val IoU=0.2442
Epoch 86: Train Loss=0.6021, Val Loss=0.7901, Train IoU=0.4915, Val IoU=0.2520
Epoch 87: Train Loss=0.5956, Val Loss=0.7929, Train IoU=0.5020, Val IoU=0.2523
Epoch 88: Train Loss=0.5931, Val Loss=0.7834, Train IoU=0.5045, Val IoU=0.2525
Epoch 89: Train Loss=0.5908, Val Loss=0.7985, Train IoU=0.5072, Val IoU=0.2475
Epoch 90: Train Loss=0.5901, Val Loss=0.7880, Train IoU=0.5050, Val IoU=0.2515
Epoch 91: Train Loss=0.5863, Val Loss=0.7931, Train IoU=0.5123, Val IoU=0.2506
Epoch 92: Train Loss=0.5756, Val Loss=0.7846, Train IoU=0.5103, Val IoU=0.2533
Epoch 93: Train Loss=0.5865, Val Loss=0.7987, Train IoU=0.5032, Val IoU=0.2503
Epoch 94: Train Loss=0.5779, Val Loss=0.7853, Train IoU=0.5152, Val IoU=0.2525
Epoch 95: Train Loss=0.5710, Val Loss=0.7985, Train IoU=0.5270, Val IoU=0.2483
Epoch 96: Train Loss=0.5766, Val Loss=0.8052, Train IoU=0.5217, Val IoU=0.2513
Epoch 97: Train Loss=0.5653, Val Loss=0.7976, Train IoU=0.5316, Val IoU=0.2534
Epoch 98: Train Loss=0.5681, Val Loss=0.7857, Train IoU=0.5249, Val IoU=0.2524
