Best validation IoU: 0.1699
Total training time: 1325.61 seconds
Epoch 63: Train Loss=0.7977, Val Loss=0.8819, Train IoU=0.1846, Val IoU=0.1504
Epoch 64: Train Loss=0.7866, Val Loss=0.8783, Train IoU=0.1892, Val IoU=0.1595
Epoch 65: Train Loss=0.7742, Val Loss=0.8986, Train IoU=0.1980, Val IoU=0.1464
Epoch 66: Train Loss=0.7886, Val Loss=0.8935, Train IoU=0.1921, Val IoU=0.1576
Epoch 67: Train Loss=0.7686, Val Loss=0.8917, Train IoU=0.2004, Val IoU=0.1554
Epoch 68: Train Loss=0.7720, Val Loss=0.8928, Train IoU=0.2058, Val IoU=0.1570
Epoch 69: Train Loss=0.7692, Val Loss=0.8861, Train IoU=0.2001, Val IoU=0.1642
Epoch 70: Train Loss=0.7585, Val Loss=0.8933, Train IoU=0.2081, Val IoU=0.1611
Epoch 71: Train Loss=0.7459, Val Loss=0.9003, Train IoU=0.2183, Val IoU=0.1635
Epoch 72: Train Loss=0.7513, Val Loss=0.8989, Train IoU=0.2166, Val IoU=0.1608
Epoch 73: Train Loss=0.7471, Val Loss=0.9264, Train IoU=0.2200, Val IoU=0.1522
Epoch 74: Train Loss=0.7415, Val Loss=0.9008, Train IoU=0.2236, Val IoU=0.1648
Epoch 75: Train Loss=0.7339, Val Loss=0.9011, Train IoU=0.2215, Val IoU=0.1581
Epoch 76: Train Loss=0.7155, Val Loss=0.8940, Train IoU=0.2405, Val IoU=0.1613
Epoch 77: Train Loss=0.7105, Val Loss=0.8891, Train IoU=0.2522, Val IoU=0.1632
Epoch 78: Train Loss=0.7230, Val Loss=0.8991, Train IoU=0.2381, Val IoU=0.1619
Epoch 79: Train Loss=0.6996, Val Loss=0.8966, Train IoU=0.2545, Val IoU=0.1639
Epoch 80: Train Loss=0.7016, Val Loss=0.8868, Train IoU=0.2516, Val IoU=0.1664
Epoch 81: Train Loss=0.7062, Val Loss=0.8948, Train IoU=0.2501, Val IoU=0.1665
Epoch 82: Train Loss=0.7008, Val Loss=0.8938, Train IoU=0.2578, Val IoU=0.1649
Epoch 83: Train Loss=0.7026, Val Loss=0.9055, Train IoU=0.2500, Val IoU=0.1605
Epoch 84: Train Loss=0.6997, Val Loss=0.8931, Train IoU=0.2566, Val IoU=0.1655
Epoch 85: Train Loss=0.6923, Val Loss=0.8920, Train IoU=0.2590, Val IoU=0.1620
Epoch 86: Train Loss=0.6972, Val Loss=0.8972, Train IoU=0.2546, Val IoU=0.1616
Epoch 87: Train Loss=0.6877, Val Loss=0.8993, Train IoU=0.2596, Val IoU=0.1647
Epoch 88: Train Loss=0.6934, Val Loss=0.8953, Train IoU=0.2600, Val IoU=0.1650
Epoch 89: Train Loss=0.6806, Val Loss=0.8964, Train IoU=0.2645, Val IoU=0.1669
Epoch 90: Train Loss=0.6843, Val Loss=0.8950, Train IoU=0.2592, Val IoU=0.1681
Epoch 91: Train Loss=0.6795, Val Loss=0.9005, Train IoU=0.2724, Val IoU=0.1665
Epoch 92: Train Loss=0.6887, Val Loss=0.8977, Train IoU=0.2613, Val IoU=0.1678
Epoch 93: Train Loss=0.6853, Val Loss=0.8936, Train IoU=0.2669, Val IoU=0.1667
Epoch 94: Train Loss=0.6836, Val Loss=0.9005, Train IoU=0.2651, Val IoU=0.1632
Epoch 95: Train Loss=0.6751, Val Loss=0.9069, Train IoU=0.2710, Val IoU=0.1659
Epoch 96: Train Loss=0.6886, Val Loss=0.8971, Train IoU=0.2675, Val IoU=0.1675
Epoch 97: Train Loss=0.6795, Val Loss=0.9014, Train IoU=0.2739, Val IoU=0.1668
Epoch 98: Train Loss=0.6791, Val Loss=0.9033, Train IoU=0.2672, Val IoU=0.1673
Epoch 99: Train Loss=0.6830, Val Loss=0.8976, Train IoU=0.2665, Val IoU=0.1668
Epoch 100: Train Loss=0.6778, Val Loss=0.9004, Train IoU=0.2721, Val IoU=0.1665
Epoch 101: Train Loss=0.6876, Val Loss=0.8984, Train IoU=0.2722, Val IoU=0.1682
Epoch 102: Train Loss=0.6811, Val Loss=0.9041, Train IoU=0.2669, Val IoU=0.1645
Epoch 103: Train Loss=0.6938, Val Loss=0.9002, Train IoU=0.2686, Val IoU=0.1675
Epoch 104: Train Loss=0.6832, Val Loss=0.9014, Train IoU=0.2635, Val IoU=0.1651
Epoch 105: Train Loss=0.6769, Val Loss=0.9041, Train IoU=0.2697, Val IoU=0.1662
Epoch 106: Train Loss=0.6766, Val Loss=0.8967, Train IoU=0.2756, Val IoU=0.1637
Epoch 107: Train Loss=0.6923, Val Loss=0.9066, Train IoU=0.2642, Val IoU=0.1640
Epoch 108: Train Loss=0.6793, Val Loss=0.8963, Train IoU=0.2712, Val IoU=0.1677
Epoch 109: Train Loss=0.6808, Val Loss=0.9008, Train IoU=0.2627, Val IoU=0.1667
Epoch 110: Train Loss=0.6788, Val Loss=0.9111, Train IoU=0.2688, Val IoU=0.1642
Epoch 111: Train Loss=0.6840, Val Loss=0.9047, Train IoU=0.2631, Val IoU=0.1646
Epoch 112: Train Loss=0.6835, Val Loss=0.9015, Train IoU=0.2666, Val IoU=0.1675
Epoch 113: Train Loss=0.6881, Val Loss=0.8988, Train IoU=0.2612, Val IoU=0.1670
Epoch 114: Train Loss=0.6788, Val Loss=0.8962, Train IoU=0.2685, Val IoU=0.1689
Epoch 115: Train Loss=0.6801, Val Loss=0.9061, Train IoU=0.2720, Val IoU=0.1679
Epoch 116: Train Loss=0.6797, Val Loss=0.9042, Train IoU=0.2670, Val IoU=0.1665
Epoch 117: Train Loss=0.6839, Val Loss=0.9023, Train IoU=0.2669, Val IoU=0.1662
Epoch 118: Train Loss=0.6837, Val Loss=0.8987, Train IoU=0.2709, Val IoU=0.1659
Epoch 119: Train Loss=0.6859, Val Loss=0.9002, Train IoU=0.2678, Val IoU=0.1699
Epoch 120: Train Loss=0.6781, Val Loss=0.9097, Train IoU=0.2712, Val IoU=0.1651
