Best Validation IoU: 0.2389
Total Training Time: 1024.68 seconds
Epoch 63: Train Loss=0.6272, Val Loss=0.8510, Train IoU=0.2269, Val IoU=0.1633
Epoch 64: Train Loss=0.6262, Val Loss=0.8470, Train IoU=0.2349, Val IoU=0.1673
Epoch 65: Train Loss=0.6310, Val Loss=0.8110, Train IoU=0.2290, Val IoU=0.1648
Epoch 66: Train Loss=0.6263, Val Loss=0.8294, Train IoU=0.2254, Val IoU=0.1734
Epoch 67: Train Loss=0.6060, Val Loss=0.8826, Train IoU=0.2515, Val IoU=0.1711
Epoch 68: Train Loss=0.6131, Val Loss=0.8896, Train IoU=0.2490, Val IoU=0.1671
Epoch 69: Train Loss=0.6149, Val Loss=0.8479, Train IoU=0.2522, Val IoU=0.1840
Epoch 70: Train Loss=0.6025, Val Loss=0.8406, Train IoU=0.2578, Val IoU=0.1811
Epoch 71: Train Loss=0.5992, Val Loss=0.8398, Train IoU=0.2535, Val IoU=0.1819
Epoch 72: Train Loss=0.5919, Val Loss=0.8189, Train IoU=0.2689, Val IoU=0.1953
Epoch 73: Train Loss=0.5951, Val Loss=0.8582, Train IoU=0.2659, Val IoU=0.1774
Epoch 74: Train Loss=0.5928, Val Loss=0.8242, Train IoU=0.2621, Val IoU=0.1780
Epoch 75: Train Loss=0.5894, Val Loss=0.8803, Train IoU=0.2762, Val IoU=0.1943
Epoch 76: Train Loss=0.5909, Val Loss=0.8386, Train IoU=0.2762, Val IoU=0.1795
Epoch 77: Train Loss=0.5231, Val Loss=0.7910, Train IoU=0.3369, Val IoU=0.2149
Epoch 78: Train Loss=0.5049, Val Loss=0.7857, Train IoU=0.3689, Val IoU=0.2188
Epoch 79: Train Loss=0.4990, Val Loss=0.7955, Train IoU=0.3732, Val IoU=0.2224
Epoch 80: Train Loss=0.4932, Val Loss=0.8035, Train IoU=0.3864, Val IoU=0.2245
Epoch 81: Train Loss=0.4815, Val Loss=0.8039, Train IoU=0.4095, Val IoU=0.2195
Epoch 82: Train Loss=0.4825, Val Loss=0.8094, Train IoU=0.4059, Val IoU=0.2283
Epoch 83: Train Loss=0.4788, Val Loss=0.8012, Train IoU=0.4063, Val IoU=0.2278
Epoch 84: Train Loss=0.4763, Val Loss=0.8118, Train IoU=0.4088, Val IoU=0.2202
Epoch 85: Train Loss=0.4649, Val Loss=0.8104, Train IoU=0.4283, Val IoU=0.2324
Epoch 86: Train Loss=0.4613, Val Loss=0.8206, Train IoU=0.4342, Val IoU=0.2296
Epoch 87: Train Loss=0.4593, Val Loss=0.8138, Train IoU=0.4392, Val IoU=0.2317
Epoch 88: Train Loss=0.4597, Val Loss=0.8283, Train IoU=0.4298, Val IoU=0.2231
Epoch 89: Train Loss=0.4580, Val Loss=0.8488, Train IoU=0.4431, Val IoU=0.2255
Epoch 90: Train Loss=0.4466, Val Loss=0.8120, Train IoU=0.4623, Val IoU=0.2312
Epoch 91: Train Loss=0.4423, Val Loss=0.8308, Train IoU=0.4649, Val IoU=0.2302
Epoch 92: Train Loss=0.4315, Val Loss=0.8148, Train IoU=0.4762, Val IoU=0.2389
Epoch 93: Train Loss=0.4402, Val Loss=0.8219, Train IoU=0.4761, Val IoU=0.2344
Epoch 94: Train Loss=0.4334, Val Loss=0.8236, Train IoU=0.4760, Val IoU=0.2332
Epoch 95: Train Loss=0.4335, Val Loss=0.8297, Train IoU=0.4820, Val IoU=0.2315
Epoch 96: Train Loss=0.4293, Val Loss=0.8370, Train IoU=0.4878, Val IoU=0.2321
Epoch 97: Train Loss=0.4307, Val Loss=0.8231, Train IoU=0.4869, Val IoU=0.2340
Epoch 98: Train Loss=0.4290, Val Loss=0.8286, Train IoU=0.4880, Val IoU=0.2341
Epoch 99: Train Loss=0.4334, Val Loss=0.8359, Train IoU=0.4856, Val IoU=0.2307
Epoch 100: Train Loss=0.4377, Val Loss=0.8291, Train IoU=0.4742, Val IoU=0.2368
Epoch 101: Train Loss=0.4262, Val Loss=0.8343, Train IoU=0.4996, Val IoU=0.2341
Epoch 102: Train Loss=0.4253, Val Loss=0.8363, Train IoU=0.4964, Val IoU=0.2311
Epoch 103: Train Loss=0.4263, Val Loss=0.8277, Train IoU=0.4875, Val IoU=0.2357
Epoch 104: Train Loss=0.4240, Val Loss=0.8385, Train IoU=0.4877, Val IoU=0.2323
Epoch 105: Train Loss=0.4243, Val Loss=0.8374, Train IoU=0.4911, Val IoU=0.2344
Epoch 106: Train Loss=0.4250, Val Loss=0.8342, Train IoU=0.4942, Val IoU=0.2357
Epoch 107: Train Loss=0.4271, Val Loss=0.8373, Train IoU=0.4887, Val IoU=0.2325
Epoch 108: Train Loss=0.4192, Val Loss=0.8426, Train IoU=0.5048, Val IoU=0.2336
Epoch 109: Train Loss=0.4186, Val Loss=0.8335, Train IoU=0.5005, Val IoU=0.2344
Epoch 110: Train Loss=0.4236, Val Loss=0.8285, Train IoU=0.4954, Val IoU=0.2367
Epoch 111: Train Loss=0.4281, Val Loss=0.8375, Train IoU=0.4977, Val IoU=0.2324
Epoch 112: Train Loss=0.4180, Val Loss=0.8285, Train IoU=0.5040, Val IoU=0.2352
Epoch 113: Train Loss=0.4194, Val Loss=0.8314, Train IoU=0.5028, Val IoU=0.2335
Epoch 114: Train Loss=0.4220, Val Loss=0.8314, Train IoU=0.5003, Val IoU=0.2332
Epoch 115: Train Loss=0.4237, Val Loss=0.8324, Train IoU=0.4871, Val IoU=0.2333
Epoch 116: Train Loss=0.4183, Val Loss=0.8368, Train IoU=0.5062, Val IoU=0.2355
Epoch 117: Train Loss=0.4230, Val Loss=0.8332, Train IoU=0.4945, Val IoU=0.2373
Epoch 118: Train Loss=0.4153, Val Loss=0.8326, Train IoU=0.5035, Val IoU=0.2372
Epoch 119: Train Loss=0.4232, Val Loss=0.8303, Train IoU=0.5026, Val IoU=0.2364
Epoch 120: Train Loss=0.4223, Val Loss=0.8273, Train IoU=0.4997, Val IoU=0.2352
Epoch 121: Train Loss=0.4221, Val Loss=0.8324, Train IoU=0.5024, Val IoU=0.2338
